Package Name                                                            | Version      | ID  | Bundle Name
org.apache.wss4j.policy.stax                                            | 2.2.4        | 240 | org.apache.wss4j.wss4j-ws-security-policy-stax
org.apache.wss4j.policy                                                 | 2.2.4        | 237 | org.apache.wss4j.wss4j-policy
org.apache.wss4j.stax.ext                                               | 2.2.4        | 241 | org.apache.wss4j.wss4j-ws-security-stax
org.apache.wss4j.stax.impl.processor.input                              | 2.2.4        | 241 | org.apache.wss4j.wss4j-ws-security-stax
org.apache.wss4j.stax.impl.processor.output                             | 2.2.4        | 241 | org.apache.wss4j.wss4j-ws-security-stax
org.apache.wss4j.stax.impl.resourceResolvers                            | 2.2.4        | 241 | org.apache.wss4j.wss4j-ws-security-stax
org.apache.wss4j.stax.impl.securityToken                                | 2.2.4        | 241 | org.apache.wss4j.wss4j-ws-security-stax
org.apache.wss4j.stax.impl.transformer                                  | 2.2.4        | 241 | org.apache.wss4j.wss4j-ws-security-stax
org.apache.wss4j.stax.impl                                              | 2.2.4        | 241 | org.apache.wss4j.wss4j-ws-security-stax
org.apache.wss4j.stax.securityEvent                                     | 2.2.4        | 241 | org.apache.wss4j.wss4j-ws-security-stax
org.apache.wss4j.stax.securityToken                                     | 2.2.4        | 241 | org.apache.wss4j.wss4j-ws-security-stax
org.apache.wss4j.stax.setup                                             | 2.2.4        | 241 | org.apache.wss4j.wss4j-ws-security-stax
org.apache.wss4j.stax.utils                                             | 2.2.4        | 241 | org.apache.wss4j.wss4j-ws-security-stax
org.apache.wss4j.stax.validate                                          | 2.2.4        | 241 | org.apache.wss4j.wss4j-ws-security-stax
org.apache.xalan.client                                                 | 2.7.2        | 229 | org.apache.servicemix.bundles.xalan
org.apache.xalan.extensions                                             | 2.7.2        | 229 | org.apache.servicemix.bundles.xalan
org.apache.xalan.lib.sql                                                | 2.7.2        | 229 | org.apache.servicemix.bundles.xalan
org.apache.xalan.lib                                                    | 2.7.2        | 229 | org.apache.servicemix.bundles.xalan
org.apache.xalan.processor                                              | 2.7.2        | 229 | org.apache.servicemix.bundles.xalan
org.apache.xalan.res                                                    | 2.7.2        | 229 | org.apache.servicemix.bundles.xalan
org.apache.xalan.serialize                                              | 2.7.2        | 229 | org.apache.servicemix.bundles.xalan
org.apache.xalan.templates                                              | 2.7.2        | 229 | org.apache.servicemix.bundles.xalan
org.apache.xalan.trace                                                  | 2.7.2        | 229 | org.apache.servicemix.bundles.xalan
org.apache.xalan.transformer                                            | 2.7.2        | 229 | org.apache.servicemix.bundles.xalan
org.apache.xalan.xslt                                                   | 2.7.2        | 229 | org.apache.servicemix.bundles.xalan
org.apache.xalan.xsltc.cmdline.getopt                                   | 2.7.2        | 229 | org.apache.servicemix.bundles.xalan
org.apache.xalan.xsltc.cmdline                                          | 2.7.2        | 229 | org.apache.servicemix.bundles.xalan
org.apache.xalan.xsltc.compiler.util                                    | 2.7.2        | 229 | org.apache.servicemix.bundles.xalan
org.apache.xalan.xsltc.compiler                                         | 2.7.2        | 229 | org.apache.servicemix.bundles.xalan
org.apache.xalan.xsltc.dom                                              | 2.7.2        | 229 | org.apache.servicemix.bundles.xalan
org.apache.xalan.xsltc.runtime.output                                   | 2.7.2        | 229 | org.apache.servicemix.bundles.xalan
org.apache.xalan.xsltc.runtime                                          | 2.7.2        | 229 | org.apache.servicemix.bundles.xalan
org.apache.xalan.xsltc.trax                                             | 2.7.2        | 229 | org.apache.servicemix.bundles.xalan
org.apache.xalan.xsltc.util                                             | 2.7.2        | 229 | org.apache.servicemix.bundles.xalan
org.apache.xalan.xsltc                                                  | 2.7.2        | 229 | org.apache.servicemix.bundles.xalan
org.apache.xalan                                                        | 2.7.2        | 229 | org.apache.servicemix.bundles.xalan
org.apache.xbean.finder.archive                                         | 4.14.0       | 123 | org.apache.xbean.finder
org.apache.xbean.finder.filter                                          | 4.14.0       | 123 | org.apache.xbean.finder
org.apache.xbean.finder.util                                            | 4.14.0       | 123 | org.apache.xbean.finder
org.apache.xbean.finder                                                 | 4.14.0       | 123 | org.apache.xbean.finder
org.apache.xbean.naming.context                                         | 4.14.0       | 87  | org.apache.xbean.naming
org.apache.xbean.naming.global                                          | 4.14.0       | 87  | org.apache.xbean.naming
org.apache.xbean.naming.java                                            | 4.14.0       | 87  | org.apache.xbean.naming
org.apache.xbean.naming.reference                                       | 4.14.0       | 87  | org.apache.xbean.naming
org.apache.xbean.osgi.bundle.util.equinox                               | 4.14.0       | 122 | org.apache.xbean.bundleutils
org.apache.xbean.osgi.bundle.util.jar                                   | 4.14.0       | 122 | org.apache.xbean.bundleutils
org.apache.xbean.osgi.bundle.util                                       | 4.14.0       | 122 | org.apache.xbean.bundleutils
org.apache.xerces.dom.events                                            | 2.12.0       | 230 | org.apache.servicemix.bundles.xerces
org.apache.xerces.dom3.as                                               | 2.12.0       | 230 | org.apache.servicemix.bundles.xerces
org.apache.xerces.dom                                                   | 2.12.0       | 230 | org.apache.servicemix.bundles.xerces
org.apache.xerces.impl.dtd.models                                       | 2.12.0       | 230 | org.apache.servicemix.bundles.xerces
org.apache.xerces.impl.dtd                                              | 2.12.0       | 230 | org.apache.servicemix.bundles.xerces
org.apache.xerces.impl.dv.dtd                                           | 2.12.0       | 230 | org.apache.servicemix.bundles.xerces
org.apache.xerces.impl.dv.util                                          | 2.12.0       | 230 | org.apache.servicemix.bundles.xerces
org.apache.xerces.impl.dv.xs                                            | 2.12.0       | 230 | org.apache.servicemix.bundles.xerces
org.apache.xerces.impl.dv                                               | 2.12.0       | 230 | org.apache.servicemix.bundles.xerces
org.apache.xerces.impl.io                                               | 2.12.0       | 230 | org.apache.servicemix.bundles.xerces
org.apache.xerces.impl.msg                                              | 2.12.0       | 230 | org.apache.servicemix.bundles.xerces
org.apache.xerces.impl.validation                                       | 2.12.0       | 230 | org.apache.servicemix.bundles.xerces
org.apache.xerces.impl.xpath.regex                                      | 2.12.0       | 230 | org.apache.servicemix.bundles.xerces
org.apache.xerces.impl.xpath                                            | 2.12.0       | 230 | org.apache.servicemix.bundles.xerces
org.apache.xerces.impl.xs.identity                                      | 2.12.0       | 230 | org.apache.servicemix.bundles.xerces
org.apache.xerces.impl.xs.models                                        | 2.12.0       | 230 | org.apache.servicemix.bundles.xerces
org.apache.xerces.impl.xs.opti                                          | 2.12.0       | 230 | org.apache.servicemix.bundles.xerces
org.apache.xerces.impl.xs.traversers                                    | 2.12.0       | 230 | org.apache.servicemix.bundles.xerces
org.apache.xerces.impl.xs.util                                          | 2.12.0       | 230 | org.apache.servicemix.bundles.xerces
org.apache.xerces.impl.xs                                               | 2.12.0       | 230 | org.apache.servicemix.bundles.xerces
org.apache.xerces.impl                                                  | 2.12.0       | 230 | org.apache.servicemix.bundles.xerces
org.apache.xerces.jaxp.datatype                                         | 2.12.0       | 230 | org.apache.servicemix.bundles.xerces
org.apache.xerces.jaxp.validation                                       | 2.12.0       | 230 | org.apache.servicemix.bundles.xerces
org.apache.xerces.jaxp                                                  | 2.12.0       | 230 | org.apache.servicemix.bundles.xerces
org.apache.xerces.parsers                                               | 2.12.0       | 230 | org.apache.servicemix.bundles.xerces
org.apache.xerces.stax.events                                           | 2.12.0       | 230 | org.apache.servicemix.bundles.xerces
org.apache.xerces.stax                                                  | 2.12.0       | 230 | org.apache.servicemix.bundles.xerces
org.apache.xerces.util                                                  | 2.12.0       | 230 | org.apache.servicemix.bundles.xerces
org.apache.xerces.xinclude                                              | 2.12.0       | 230 | org.apache.servicemix.bundles.xerces
org.apache.xerces.xni.grammars                                          | 2.12.0       | 230 | org.apache.servicemix.bundles.xerces
org.apache.xerces.xni.parser                                            | 2.12.0       | 230 | org.apache.servicemix.bundles.xerces
org.apache.xerces.xni                                                   | 2.12.0       | 230 | org.apache.servicemix.bundles.xerces
org.apache.xerces.xpointer                                              | 2.12.0       | 230 | org.apache.servicemix.bundles.xerces
org.apache.xerces.xs.datatypes                                          | 2.12.0       | 230 | org.apache.servicemix.bundles.xerces
org.apache.xerces.xs                                                    | 2.12.0       | 230 | org.apache.servicemix.bundles.xerces
org.apache.xml.dtm.ref.dom2dtm                                          | 2.7.2        | 229 | org.apache.servicemix.bundles.xalan
org.apache.xml.dtm.ref.sax2dtm                                          | 2.7.2        | 229 | org.apache.servicemix.bundles.xalan
org.apache.xml.dtm.ref                                                  | 2.7.2        | 229 | org.apache.servicemix.bundles.xalan
org.apache.xml.dtm                                                      | 2.7.2        | 229 | org.apache.servicemix.bundles.xalan
org.apache.xml.res                                                      | 2.7.2        | 229 | org.apache.servicemix.bundles.xalan
org.apache.xml.resolver.apps                                            | 1.2.0        | 231 | org.apache.servicemix.bundles.xmlresolver
org.apache.xml.resolver.etc                                             | 1.2.0        | 231 | org.apache.servicemix.bundles.xmlresolver
org.apache.xml.resolver.helpers                                         | 1.2.0        | 231 | org.apache.servicemix.bundles.xmlresolver
org.apache.xml.resolver.readers                                         | 1.2.0        | 231 | org.apache.servicemix.bundles.xmlresolver
org.apache.xml.resolver.tests                                           | 1.2.0        | 231 | org.apache.servicemix.bundles.xmlresolver
org.apache.xml.resolver.tools                                           | 1.2.0        | 231 | org.apache.servicemix.bundles.xmlresolver
org.apache.xml.resolver                                                 | 1.2.0        | 231 | org.apache.servicemix.bundles.xmlresolver
org.apache.xml.security.algorithms.implementations                      | 2.1.4        | 220 | org.apache.santuario.xmlsec
org.apache.xml.security.algorithms                                      | 2.1.4        | 220 | org.apache.santuario.xmlsec
org.apache.xml.security.binding.excc14n                                 | 2.1.4        | 220 | org.apache.santuario.xmlsec
org.apache.xml.security.binding.xmldsig11                               | 2.1.4        | 220 | org.apache.santuario.xmlsec
org.apache.xml.security.binding.xmldsig                                 | 2.1.4        | 220 | org.apache.santuario.xmlsec
org.apache.xml.security.binding.xmlenc11                                | 2.1.4        | 220 | org.apache.santuario.xmlsec
org.apache.xml.security.binding.xmlenc                                  | 2.1.4        | 220 | org.apache.santuario.xmlsec
org.apache.xml.security.binding.xop                                     | 2.1.4        | 220 | org.apache.santuario.xmlsec
org.apache.xml.security.c14n.helper                                     | 2.1.4        | 220 | org.apache.santuario.xmlsec
org.apache.xml.security.c14n.implementations                            | 2.1.4        | 220 | org.apache.santuario.xmlsec
org.apache.xml.security.c14n                                            | 2.1.4        | 220 | org.apache.santuario.xmlsec
org.apache.xml.security.configuration                                   | 2.1.4        | 220 | org.apache.santuario.xmlsec
org.apache.xml.security.encryption                                      | 2.1.4        | 220 | org.apache.santuario.xmlsec
org.apache.xml.security.exceptions                                      | 2.1.4        | 220 | org.apache.santuario.xmlsec
org.apache.xml.security.keys.content.keyvalues                          | 2.1.4        | 220 | org.apache.santuario.xmlsec
org.apache.xml.security.keys.content.x509                               | 2.1.4        | 220 | org.apache.santuario.xmlsec
org.apache.xml.security.keys.content                                    | 2.1.4        | 220 | org.apache.santuario.xmlsec
org.apache.xml.security.keys.keyresolver.implementations                | 2.1.4        | 220 | org.apache.santuario.xmlsec
org.apache.xml.security.keys.keyresolver                                | 2.1.4        | 220 | org.apache.santuario.xmlsec
org.apache.xml.security.keys.storage.implementations                    | 2.1.4        | 220 | org.apache.santuario.xmlsec
org.apache.xml.security.keys.storage                                    | 2.1.4        | 220 | org.apache.santuario.xmlsec
org.apache.xml.security.keys                                            | 2.1.4        | 220 | org.apache.santuario.xmlsec
org.apache.xml.security.resource.schema                                 | 2.1.4        | 220 | org.apache.santuario.xmlsec
org.apache.xml.security.resource                                        | 2.1.4        | 220 | org.apache.santuario.xmlsec
org.apache.xml.security.signature.reference                             | 2.1.4        | 220 | org.apache.santuario.xmlsec
org.apache.xml.security.signature                                       | 2.1.4        | 220 | org.apache.santuario.xmlsec
org.apache.xml.security.stax.config                                     | 2.1.4        | 220 | org.apache.santuario.xmlsec
org.apache.xml.security.stax.ext.stax                                   | 2.1.4        | 220 | org.apache.santuario.xmlsec
org.apache.xml.security.stax.ext                                        | 2.1.4        | 220 | org.apache.santuario.xmlsec
org.apache.xml.security.stax.impl.algorithms                            | 2.1.4        | 220 | org.apache.santuario.xmlsec
org.apache.xml.security.stax.impl.processor.input                       | 2.1.4        | 220 | org.apache.santuario.xmlsec
org.apache.xml.security.stax.impl.processor.output                      | 2.1.4        | 220 | org.apache.santuario.xmlsec
org.apache.xml.security.stax.impl.resourceResolvers                     | 2.1.4        | 220 | org.apache.santuario.xmlsec
org.apache.xml.security.stax.impl.securityToken                         | 2.1.4        | 220 | org.apache.santuario.xmlsec
org.apache.xml.security.stax.impl.stax                                  | 2.1.4        | 220 | org.apache.santuario.xmlsec
org.apache.xml.security.stax.impl.transformer.canonicalizer             | 2.1.4        | 220 | org.apache.santuario.xmlsec
org.apache.xml.security.stax.impl.transformer                           | 2.1.4        | 220 | org.apache.santuario.xmlsec
org.apache.xml.security.stax.impl.util                                  | 2.1.4        | 220 | org.apache.santuario.xmlsec
org.apache.xml.security.stax.impl                                       | 2.1.4        | 220 | org.apache.santuario.xmlsec
org.apache.xml.security.stax.securityEvent                              | 2.1.4        | 220 | org.apache.santuario.xmlsec
org.apache.xml.security.stax.securityToken                              | 2.1.4        | 220 | org.apache.santuario.xmlsec
org.apache.xml.security.transforms.implementations                      | 2.1.4        | 220 | org.apache.santuario.xmlsec
org.apache.xml.security.transforms.params                               | 2.1.4        | 220 | org.apache.santuario.xmlsec
org.apache.xml.security.transforms                                      | 2.1.4        | 220 | org.apache.santuario.xmlsec
org.apache.xml.security.utils.resolver.implementations                  | 2.1.4        | 220 | org.apache.santuario.xmlsec
org.apache.xml.security.utils.resolver                                  | 2.1.4        | 220 | org.apache.santuario.xmlsec
org.apache.xml.security.utils                                           | 2.1.4        | 220 | org.apache.santuario.xmlsec
org.apache.xml.security                                                 | 2.1.4        | 220 | org.apache.santuario.xmlsec
org.apache.xml.serialize                                                | 2.12.0       | 230 | org.apache.servicemix.bundles.xerces
org.apache.xml.serializer.dom3                                          | 2.7.2        | 229 | org.apache.servicemix.bundles.xalan
org.apache.xml.serializer.utils                                         | 2.7.2        | 229 | org.apache.servicemix.bundles.xalan
org.apache.xml.serializer                                               | 2.7.2        | 229 | org.apache.servicemix.bundles.xalan
org.apache.xml.utils.res                                                | 2.7.2        | 229 | org.apache.servicemix.bundles.xalan
org.apache.xml.utils                                                    | 2.7.2        | 229 | org.apache.servicemix.bundles.xalan
org.apache.xpath.axes                                                   | 2.7.2        | 229 | org.apache.servicemix.bundles.xalan
org.apache.xpath.compiler                                               | 2.7.2        | 229 | org.apache.servicemix.bundles.xalan
org.apache.xpath.domapi                                                 | 2.7.2        | 229 | org.apache.servicemix.bundles.xalan
org.apache.xpath.functions                                              | 2.7.2        | 229 | org.apache.servicemix.bundles.xalan
org.apache.xpath.jaxp                                                   | 2.7.2        | 229 | org.apache.servicemix.bundles.xalan
org.apache.xpath.objects                                                | 2.7.2        | 229 | org.apache.servicemix.bundles.xalan
org.apache.xpath.operations                                             | 2.7.2        | 229 | org.apache.servicemix.bundles.xalan
org.apache.xpath.patterns                                               | 2.7.2        | 229 | org.apache.servicemix.bundles.xalan
org.apache.xpath.res                                                    | 2.7.2        | 229 | org.apache.servicemix.bundles.xalan
org.apache.xpath                                                        | 2.7.2        | 229 | org.apache.servicemix.bundles.xalan
org.codehaus.jettison.badgerfish                                        | 1.4.0        | 242 | org.codehaus.jettison.jettison
org.codehaus.jettison.json                                              | 1.4.0        | 242 | org.codehaus.jettison.jettison
org.codehaus.jettison.mapped                                            | 1.4.0        | 242 | org.codehaus.jettison.jettison
org.codehaus.jettison.util                                              | 1.4.0        | 242 | org.codehaus.jettison.jettison
org.codehaus.jettison                                                   | 1.4.0        | 242 | org.codehaus.jettison.jettison
org.codehaus.stax2.evt                                                  | 3.1.4        | 245 | stax2-api
org.codehaus.stax2.io                                                   | 3.1.4        | 245 | stax2-api
org.codehaus.stax2.osgi                                                 | 3.1.4        | 245 | stax2-api
org.codehaus.stax2.ri.dom                                               | 3.1.4        | 245 | stax2-api
org.codehaus.stax2.ri.evt                                               | 3.1.4        | 245 | stax2-api
org.codehaus.stax2.ri.typed                                             | 3.1.4        | 245 | stax2-api
org.codehaus.stax2.ri                                                   | 3.1.4        | 245 | stax2-api
org.codehaus.stax2.typed                                                | 3.1.4        | 245 | stax2-api
org.codehaus.stax2.util                                                 | 3.1.4        | 245 | stax2-api
org.codehaus.stax2.validation                                           | 3.1.4        | 245 | stax2-api
org.codehaus.stax2                                                      | 3.1.4        | 245 | stax2-api
org.dom4j.bean                                                          | 0.0.0        | 105 | wrap_file__E___DEV__maven_repository_org_dom4j_dom4j_2.1.1_dom4j-2.1.1.jar
org.dom4j.datatype                                                      | 0.0.0        | 105 | wrap_file__E___DEV__maven_repository_org_dom4j_dom4j_2.1.1_dom4j-2.1.1.jar
org.dom4j.dom                                                           | 0.0.0        | 105 | wrap_file__E___DEV__maven_repository_org_dom4j_dom4j_2.1.1_dom4j-2.1.1.jar
org.dom4j.dtd                                                           | 0.0.0        | 105 | wrap_file__E___DEV__maven_repository_org_dom4j_dom4j_2.1.1_dom4j-2.1.1.jar
